ano,trimestre,departamento,municipio,impuestomes1,impuestomes2,impuestomes3,totalimpuesto
2018,3,BOYACA,OTANCHE,432008667.203818,445555689.144983,473425070.578078,1350989426.92688
2018,3,BOYACA,MONIQUIRA,39369388.971046,40607893.7162935,43148572.6427068,123125855.330046
2018,3,BOYACA,MIRAFLORES,307104843.693368,316763106.110709,336581269.271682,960449219.075759
2018,3,BOYACA,JENESANO,212610994.25733,219297488.58365,233017753.195485,664926236.036465
2018,3,BOYACA,CUBARA,38965380.0421963,33691641.2835242,2070752.05247195,74727773.3781925
2018,3,BOYACA,CHIQUINQUIRÁ,58771.035185707,53593.5777383695,55761.9785537896,168126.591477866
2018,3,BOYACA,CAMPOHERMOSO,173245165.19897,178692839.25623,189872557.250369,541810561.705569
2018,3,BOYACA,CALDAS,43534.1001375607,39698.9464728663,41305.1692991034,124538.21590953
2018,3,BOYACA,BRICEÑO,119718.775378292,109172.102800382,113589.215572534,342480.093751209
2018,3,BOYACA,BOYACA,47247419.9184083,48733260.3390457,51782227.8843993,147762908.141853
2018,3,BOLIVAR,TURBANA,39074992,44828264,38919927,122823183
2018,3,BOLIVAR,TALAIGUA NUEVO,27218772,25923668,24553428,77695868
2018,3,BOLIVAR,MOMPOS,63526725,60504042,57305998,181336765
2018,3,BOLIVAR,MARIA LA BAJA,65503606,75148141,65243664,205895411
2018,3,BOLIVAR,MAGANGUE,79041366,74622618,67997242,221661226
2018,3,BOLIVAR,CORDOBA,4460964,3681212,1173838,9316014
2018,3,BOLIVAR,CICUCO,57085216,54369029,51495261,162949506
2018,3,BOLIVAR,CARTAGENA,19126653,21942798,19050751,60120202
2018,3,BOLIVAR,ARJONA,52094235,59764418,51887505,163746158
2018,3,ARAUCA,TAME,115916910.752372,121820463.887979,98618585.6152214,336355960.255573
2018,3,ARAUCA,SARAVENA,405670148.602256,292955061.977929,207638940.511964,906264151.092149
2018,3,ARAUCA,FORTUL,40022382.6453719,42060690.1340916,34049826.872815,116132899.652278
2018,3,ANTIOQUIA,ZARAGOZA,311605180,328393543,343705865,983704588
2018,3,ANTIOQUIA,SONSON,23123488,21690509,21980964,66794961
2018,3,ANTIOQUIA,SEGOVIA,136596822,143962363,150676685,431235870
2018,3,ANTIOQUIA,REMEDIOS,380040036,400526788,419205590,1199772414
2018,3,ANTIOQUIA,PUERTO TRIUNFO,46211719,43376841,43965927,133554487
2018,3,ANTIOQUIA,PUERTO NARE,44979993,45249053,47158585,137387631
2018,3,ANTIOQUIA,PUERTO BERRIO,321943346,339284542,355103567,1016331455
2018,3,ANTIOQUIA,CAUCASIA,360893373,380334396,398067845,1139295614
2018,1,NORTE DE SANTANDER,BOCHALEMA,4598613,0,0,4598613
2018,1,CESAR,PAILITAS,4299523,1896675,1953349,8149547
2018,1,BOYACA,OTANCHE,402044350.492749,370340968.433327,412734741.622096,1185120060.54817
2018,2,CORDOBA,PURÍSIMA,5194930,4725569,4870448,14790947
2018,1,HUILA,AIPE,76180168.0354108,0,0,76180168.0354108
2018,2,SANTANDER,CIMITARRA,195513874,195003039,165032612,555549525
2018,2,CORDOBA,CHINU,8812258,8016073,8261833,25090164
2018,1,NARIÑO,PUERRES,28179074,34260054,30129326,92568454
2018,1,CASANARE,NUNCHIA,110764409.744161,70051302.0084529,101842379.842903,282658091.595517
2018,1,META,BARRANCA DE UPIA,260273349.750387,220360614.8608,243987509.030891,724621473.642078
2018,2,CORDOBA,TUCHIN,14995180,13640370,14058562,42694112
2018,2,SANTANDER,PUERTO WILCHES,41999178,41647642,38292597,121939417
2018,1,SANTANDER,LA BELLEZA,125481158,115555846,128832043,369869047
2018,2,BOYACA,SAN SOFIA,421990.876046207,420314.460800725,428164.835772412,1270470.17261934
2018,2,CASANARE,SAN LUIS DE PALENQUE,0,13325946.6544744,12932241.4171138,26258188.0715882
2018,1,SUCRE,LOS PALMITOS,32582626,29927536,31256554,93766716
2018,1,BOLIVAR,CICUCO,47973700,44378906,46281821,138634427
2018,1,SUCRE,PALMITO,10814914,9864823,10570702,31250439
2018,2,CALDAS,LA DORADA,4391277,4312361,4562222,13265860
2018,1,SANTANDER,CIMITARRA,452858609,424841510,453739669,1331439788
2018,1,BOYACA,SACHICA,102594138.462121,94497387.7890349,105325252.283164,302416778.53432
2018,1,MAGDALENA,PIJINO DEL CARMEN,3444531,1519507,1564911,6528949
2018,1,BOYACA,SAN LUIS DE GACENO,29310706.3860649,26997341.7807426,30091048.3131812,86399096.4799888
2018,1,CUNDINAMARCA,GUADUAS,28916314,24329594,28434756,81680664
2018,1,CASANARE,SABANALARGA,304598300.243774,276150817.507889,317697886.275573,898447004.027237
2018,1,MAGDALENA,EL BANCO,126835544,116391766,121371371,364598681
2018,2,CORDOBA,SAHAGUN,73541718,66897245,68948208,209387171
2018,1,SANTANDER,PUERTO WILCHES,151502064,143072682,159092199,453666945
2018,1,NORTE DE SANTANDER,SARDINATA,2827993,0,0,2827993
2018,1,SANTANDER,FLORIAN,296299332,272862637,304211793,873373762
2018,1,SUCRE,SAN ONOFRE,73696286,80637271,86930891,241264448
2018,2,ANTIOQUIA,PUERTO BERRIO,88887476,80856518,83335451,253079445
2018,1,BOYACA,SUTAMARCHAN,9085663.50700234,8368517.85581539,9327578.04208998,26781759.4049077
2018,1,TOLIMA,COELLO,11240653,11029521,13173521,35443695
2018,2,CASANARE,PAZ DE ARIPORO,5823254.24678875,5343227.62533703,5185365.9172685,16351847.7893943
2018,1,META,PUERTO LOPEZ,487933993.56514,420721516.630152,444819277.801314,1353474787.99661
2018,1,SUCRE,SINCE,78026314,70982983,74125988,223135285
2018,1,CESAR,AGUACHICA,100731810,94182510,106087289,301001609
2018,1,CUNDINAMARCA,CAPARRAPI,1499685,1261804,1474710,4236199
2018,1,ANTIOQUIA,CAUCASIA,428042223,388635533,426374961,1243052717
2018,2,BOYACA,CALDAS,43666.2744253112,43492.8043047108,44305.1361519466,131464.214881969
2018,1,TOLIMA,VENADILLO,24037534,23580190,28171406,75789130
2018,1,SUCRE,MORROA,5237633,4581098,4781452,14600183
2018,2,BOYACA,CUBARA,2189121.33576413,2180424.75820807,2221149.39070554,6590695.48467773
2018,1,BOYACA,PAUNA,4214.77368778693,4230.54952461453,4162.96412925182,12608.2873416533
2018,1,META,RESTREPO,29875292.0730454,25307820.1409899,27983924.4018836,83167036.6159189
2018,1,BOYACA,SAN SOFIA,190530282.729188,175493454.306059,195602373.853451,561626110.888697
2018,1,CESAR,GAMARRA,34078435,31856095,35882662,101817192
2018,2,HUILA,RIVERA,986726.611103431,923528.181405228,1294650.85831554,3204905.6508242
2018,2,CASANARE,PORE,4595976.44030911,4217117.65286567,4092526.03100577,12905620.1241806
2018,2,CORDOBA,BUENAVISTA,48108872,43762250,45103931,136975053
2018,2,CORDOBA,SAN ANDRES DE SOTAVENTO,47073074,42820035,44132829,134025938
2018,1,BOLIVAR,MAGANGUE,65227096,58816230,61320152,185363478
2018,1,NARIÑO,TUMACO,61216081,74426372,65452799,201095252
2018,2,BOYACA,CAMPOHERMOSO,363445.318610471,362001.483429184,368762.724476689,1094209.52651634
2018,2,BOYACA,RAMIRIQUI,281167.141024579,280050.166918033,285280.771682384,846498.079624995
2018,1,ANTIOQUIA,REMEDIOS,450789286,409283869,449035219,1309108374
2018,1,BOLIVAR,ARJONA,38960243,42629661,45956843,127546747
2018,1,SANTANDER,BOLIVAR,18858337,17810104,19146972,55815413
2018,1,SUCRE,SICELEJO,54817317,48138496,50246530,153202343
2018,1,TOLIMA,FLANDES,6931293,6576866,8268167,21776326
2018,2,CUNDINAMARCA,GUADUAS,36418960,35764474,37836690,110020124
2018,2,BOYACA,PAEZ,358729.360972538,357304.260564275,363977.769772279,1080011.39130909
2018,2,BOYACA,JENESANO,437950.899348659,436211.080774097,444358.363035948,1318520.3431587
2018,1,PUTUMAYO,SAN MIGUEL,5975742,5083675,5295744,16355161
2018,1,NARIÑO,GUALMATAN,4341339,5278190,4641800,14261329
2018,2,BOYACA,PAUNA,4366.62744253112,4349.28043047108,4430.51361519466,13146.4214881969
2018,2,BOYACA,SAN LUIS DE GACENO,63217.8487992443,62966.707432145,64142.7608639807,190327.31709537
2018,1,CASANARE,MANI,34402629.7468177,32212113.9290601,37079066.1227241,103693809.798602
